track_name,size_bytes,price,rating_count_tot,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,currency_USD,cont_rating_12+,cont_rating_17+,cont_rating_4+,cont_rating_9+,prime_genre_Book,prime_genre_Business,prime_genre_Catalogs,prime_genre_Education,prime_genre_Entertainment,prime_genre_Finance,prime_genre_Food & Drink,prime_genre_Games,prime_genre_Health & Fitness,prime_genre_Lifestyle,prime_genre_Medical,prime_genre_Music,prime_genre_Navigation,prime_genre_News,prime_genre_Photo & Video,prime_genre_Productivity,prime_genre_Reference,prime_genre_Shopping,prime_genre_Social Networking,prime_genre_Sports,prime_genre_Travel,prime_genre_Utilities,prime_genre_Weather,user_rating
"The Weather Channel: Forecast, Radar & Alerts",0.001669956307,-0.2959602425,6.374048093,-0.09680848864,-1.866741733,3.480862309,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Big Day - Event Countdown,-0.5177824165,-0.1262246341,-0.1595173079,0.1707532213,-1.866741733,0.1976370966,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
12 Steps AA Companion - Alcoholics Anonymous,-0.4698641075,0.2166755848,-0.1493369595,-0.09680848864,0.6510506681,-0.56003026,0.08364175006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
OpenTable - Restaurant Reservations,-0.2943185415,-0.2959602425,1.33418144,-0.09680848864,-1.363183253,0.07135920382,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
VLC Remote,-0.4666967324,0.5595758037,-0.1434743464,-0.09680848864,0.6510506681,3.480862309,0.08364175006,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
gFlashPro - Flashcards & Tests,-0.4820318456,0.3881256942,-0.1600982876,-0.09680848864,-0.3560662923,-0.3074744745,0.08364175006,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Lose It! – Weight Loss Program and Calorie Counter,-0.04755122432,-0.2959602425,4.765909552,-0.09680848864,-0.3560662923,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Target,-0.1681053421,-0.2959602425,1.257531735,-0.09680848864,-1.866741733,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
Fish Tycoon,-0.5166451572,-0.1262246341,0.07988593107,2.578808611,-1.866741733,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Amazon App: shop, scan, compare, and read reviews",-0.1822088568,-0.2959602425,1.497595178,-0.09680848864,0.6510506681,0.3239149894,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
Touchgrind,-0.4007121262,0.5595758037,0.3016089021,0.7058766412,-1.866741733,-0.6863081528,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ProPresenter Remote,-0.42377324,0.5595758037,-0.1648253495,-0.09680848864,0.6510506681,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
iReal Pro - Music Book & Play Along,-0.3782240479,1.931176679,-0.1518853476,-0.09680848864,0.6510506681,3.480862309,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
NRJ Radio,-0.4056670299,-0.2959602425,-0.1697372686,-0.09680848864,0.6510506681,-0.1811965817,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Chase Mobile℠,-0.4444224732,-0.2959602425,2.909877547,-0.09680848864,-1.866741733,-0.4337523673,0.08364175006,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
大辞林,0.03049848677,3.474227664,-0.1693939624,-0.09680848864,0.6510506681,-0.4337523673,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
Allrecipes Dinner Spinner,-0.4530721727,-0.2959602425,1.273614309,-0.09680848864,0.6510506681,-0.56003026,0.08364175006,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
新浪新闻-阅读最新时事热门头条资讯视频,-0.2338390671,-0.2959602425,-0.1408071215,-0.09680848864,-1.866741733,-0.56003026,0.08364175006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
MotionX GPS,-0.3971598765,0.04522547531,0.0274261071,-0.09680848864,-1.866741733,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
AccuWeather - Weather for Life,-0.04786767674,-0.2959602425,1.733974682,-0.09680848864,-1.363183253,4.743641236,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"Mint: Personal Finance, Budget, Bills & Money",-0.100903392,-0.2959602425,2.9055202,-0.09680848864,0.6510506681,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ABC News - US & World News + Live Video,-0.2812670173,-0.2959602425,0.468931049,-0.09680848864,-1.866741733,-0.56003026,-11.95575175,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Rowmote: Remote Control for Mac,-0.4038224829,-0.1262246341,-0.09720723758,0.7058766412,-0.3560662923,0.9553044532,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Peekaboo Barn,-0.414772877,0.04522547531,-0.1254375682,1.508561771,0.6510506681,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Speedtest by Ookla,-0.4877707531,-0.2959602425,0.6882376728,0.1707532213,0.1474921879,1.460416024,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Pocket God,-0.1498993497,-0.1262246341,2.305909561,1.508561771,0.6510506681,-0.56003026,0.08364175006,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Nike+ Training Club - Workouts & Fitness Plans,-0.1636122879,-0.2959602425,0.2782904906,-0.09680848864,-1.866741733,1.460416024,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Citi Mobile®,0.2286034042,-0.2959602425,0.4744107436,-0.09680848864,-1.866741733,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Phase 10 Pro - Play Your Friends!,-0.3687247734,0.04522547531,0.610848539,0.7058766412,0.6510506681,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Kindle – Read eBooks, Magazines & Textbooks",-0.0818164644,-0.2959602425,3.158193543,-0.09680848864,0.6510506681,0.4501928821,0.08364175006,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
MASH,-0.4383386042,0.04522547531,-0.1053673612,-0.09680848864,-0.3560662923,1.207860239,0.08364175006,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
同花顺-炒股、股票,-0.2122832405,-0.2959602425,-0.147211102,-0.09680848864,-1.866741733,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Wedding Dash Deluxe,-0.3990471873,-0.1262246341,0.04851302854,1.508561771,0.1474921879,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Beer Pong Game,-0.02833600524,-0.2959602425,2.303083888,-0.09680848864,0.6510506681,0.4501928821,0.08364175006,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tempo - Metronome with Setlists,-0.49264298,0.2166755848,-0.1071103003,-0.09680848864,0.6510506681,0.5764707749,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Skat,-0.370212955,0.3881256942,-0.1689978399,-0.09680848864,-1.866741733,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Color Splash,-0.476079119,-0.1262246341,0.2199944617,-0.09680848864,-1.866741733,-0.3074744745,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Zombieville USA,-0.4765607217,-0.1262246341,0.2653372846,2.578808611,0.6510506681,-0.56003026,0.08364175006,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Skype for iPhone,-0.1834604119,-0.2959602425,4.761737062,-0.09680848864,-1.866741733,3.354584416,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
Tumblr,-0.1324146407,-0.2959602425,4.24379368,-0.09680848864,0.6510506681,1.334138132,0.08364175006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
iSwap Faces,-0.4790469296,0.04522547531,-0.1398432234,-0.09680848864,0.6510506681,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Match™ - #1 Dating App.,-0.2724947282,-0.2959602425,0.6307074807,-0.09680848864,0.6510506681,0.5764707749,0.08364175006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Tozzle - Toddler's favorite puzzle,-0.086147016,0.2166755848,-0.1364101617,-0.09680848864,0.6510506681,-0.1811965817,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
HomeBudget with Sync,-0.5057287152,0.5595758037,-0.1300722016,-0.09680848864,0.6510506681,0.7027486677,0.08364175006,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Wind Meter,-0.5398371546,-0.1262246341,-0.1657760435,1.508561771,-1.866741733,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Map My Run+ - GPS Running & Workout Tracker,0.1079637587,0.2166755848,0.04675688543,-0.09680848864,-1.866741733,0.4501928821,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Map My Ride+ - GPS Cycling & Route Tracker,0.09571619474,0.2166755848,-0.03759080033,-0.09680848864,-1.866741733,0.4501928821,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"HuffPost - News, Politics & Entertainment",-0.2469875226,-0.2959602425,0.2140922363,-0.09680848864,0.6510506681,0.5764707749,0.08364175006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Phrase Party!,-0.4214012723,0.04522547531,-0.1586458384,0.1707532213,0.6510506681,-0.56003026,0.08364175006,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Minesweeper Classic,-0.4924377135,-0.1262246341,-0.1551863685,-0.09680848864,0.1474921879,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Sally's Spa,0.647686192,0.2166755848,0.2928810029,1.508561771,-1.866741733,0.07135920382,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"CBS Sports App - Sports Scores, News, Stats, Watch",-0.2193221686,-0.2959602425,0.6172393155,-0.09680848864,0.1474921879,-0.56003026,0.08364175006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,-0.3015342269,0.5595758037,-0.1317755283,1.508561771,0.6510506681,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
iSwap Faces LITE,-0.4686695709,-0.2959602425,0.3542535833,-0.09680848864,0.6510506681,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
DIRECTV,-0.1329049994,-0.2959602425,0.8993709688,-0.09680848864,-1.866741733,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
